,Input.emoji,Answer.rate
0,angry,3
1,angry,4
2,angry,3
3,angry,4
4,angry,4
5,angry,3
6,angry,3
7,angry,3
8,angry,4
9,angry,2
10,angry,3
11,angry,2
12,angry,4
13,angry,5
14,angry,3
15,angry,4
16,angry,5
17,angry,3
18,angry,4
19,angry,3
20,angry,5
21,angry,4
22,angry,1
23,angry,5
24,angry,2
25,angry,3
26,angry,4
27,angry,4
28,angry,2
29,angry,3
30,angry,4
31,angry,4
32,angry,2
33,angry,2
34,angry,3
35,angry,3
36,angry,5
37,angry,1
38,angry,3
39,angry,5
40,angry,4
41,angry,3
42,angry,5
43,angry,5
44,pouting,5
45,pouting,5
46,pouting,4
47,pouting,5
48,pouting,5
49,pouting,5
50,pouting,5
51,pouting,4
52,pouting,5
53,pouting,5
54,pouting,4
55,pouting,4
56,pouting,5
57,pouting,5
58,pouting,3
59,pouting,4
60,pouting,4
61,pouting,5
62,pouting,4
63,pouting,5
64,pouting,4
65,pouting,4
66,pouting,5
67,pouting,5
68,pouting,5
69,pouting,3
70,pouting,3
71,pouting,2
72,pouting,5
73,pouting,5
74,pouting,5
75,pouting,5
76,pouting,5
77,pouting,5
78,pouting,5
79,pouting,4
80,pouting,4
81,pouting,4
82,pouting,5
83,pouting,2
84,pouting,2
85,pouting,5
86,pouting,5
87,horns,5
88,horns,4
89,horns,5
90,horns,1
91,horns,4
92,horns,4
93,horns,4
94,horns,4
95,horns,2
96,horns,2
97,horns,4
98,horns,4
99,horns,3
100,horns,5
101,horns,3
102,horns,5
103,horns,5
104,horns,4
105,horns,5
106,horns,4
107,horns,5
108,horns,4
109,horns,3
110,horns,5
111,horns,4
112,horns,4
113,horns,4
114,horns,2
115,horns,5
116,horns,3
117,horns,2
118,horns,4
119,horns,4
120,horns,5
121,horns,5
122,horns,3
123,horns,5
124,horns,5
125,horns,4
126,horns,4
127,horns,3
128,horns,4
129,horns,5
130,horns,4
131,horns,4
132,steam,4
133,steam,5
134,steam,4
135,steam,1
136,steam,2
137,steam,5
138,steam,5
139,steam,4
140,steam,4
141,steam,4
142,steam,1
143,steam,4
144,steam,3
145,steam,4
146,steam,5
147,steam,5
148,steam,1
149,steam,4
150,steam,4
151,steam,2
152,steam,5
153,steam,5
154,steam,5
155,steam,4
156,steam,5
157,steam,5
158,steam,5
159,steam,4
160,steam,4
161,steam,3
162,steam,3
163,steam,3
164,steam,3
165,steam,4
166,steam,5
167,steam,5
168,steam,5
169,steam,5
170,steam,5
171,steam,3
172,steam,4
173,steam,3
174,steam,5
