,Input.emoji,Answer.rate
0,astonished,4
1,astonished,1
2,astonished,3
3,astonished,3
4,astonished,1
5,astonished,2
6,astonished,1
7,astonished,2
8,astonished,3
9,astonished,3
10,astonished,4
11,astonished,3
12,astonished,3
13,astonished,2
14,astonished,5
15,astonished,2
16,astonished,3
17,astonished,3
18,astonished,4
19,astonished,3
20,astonished,4
21,astonished,2
22,astonished,3
23,astonished,5
24,astonished,3
25,astonished,4
26,astonished,1
27,astonished,5
28,astonished,3
29,astonished,3
30,astonished,3
31,astonished,3
32,astonished,3
33,astonished,4
34,astonished,4
35,astonished,4
36,astonished,2
37,astonished,3
38,astonished,2
39,astonished,3
40,astonished,1
41,astonished,1
42,astonished,4
43,astonished,4
44,astonished,4
45,astonished,4
46,astonished,3
47,astonished,2
48,astonished,3
49,astonished,3
50,cat,4
51,cat,4
52,cat,4
53,cat,5
54,cat,3
55,cat,4
56,cat,5
57,cat,4
58,cat,4
59,cat,5
60,cat,5
61,cat,2
62,cat,1
63,cat,5
64,cat,4
65,cat,5
66,cat,5
67,cat,1
68,cat,5
69,cat,4
70,cat,5
71,cat,3
72,cat,4
73,cat,4
74,cat,1
75,cat,2
76,cat,5
77,cat,3
78,cat,5
79,cat,4
80,cat,5
81,cat,4
82,cat,5
83,cat,4
84,cat,5
85,cat,4
86,cat,3
87,cat,5
88,cat,4
89,cat,5
90,cat,5
91,cat,4
92,cat,3
93,cat,3
94,cat,2
95,cat,5
96,cat,5
97,cat,3
98,cat,5
99,cat,5
100,fearful,3
101,fearful,4
102,fearful,3
103,fearful,4
104,fearful,4
105,fearful,2
106,fearful,2
107,fearful,2
108,fearful,3
109,fearful,2
110,fearful,2
111,fearful,3
112,fearful,4
113,fearful,4
114,fearful,4
115,fearful,4
116,fearful,3
117,fearful,3
118,fearful,4
119,fearful,3
120,fearful,3
121,fearful,1
122,fearful,5
123,fearful,3
124,fearful,3
125,fearful,3
126,fearful,4
127,fearful,3
128,fearful,3
129,fearful,5
130,fearful,4
131,fearful,2
132,fearful,2
133,fearful,3
134,fearful,2
135,fearful,4
136,fearful,4
137,fearful,4
138,fearful,3
139,fearful,2
140,fearful,3
141,fearful,4
142,fearful,5
143,fearful,4
144,fearful,4
145,fearful,4
146,fearful,2
147,fearful,3
148,fearful,3
149,fearful,4
150,scream,4
151,scream,5
152,scream,3
153,scream,4
154,scream,5
155,scream,5
156,scream,5
157,scream,5
158,scream,5
159,scream,4
160,scream,2
161,scream,5
162,scream,5
163,scream,5
164,scream,3
165,scream,4
166,scream,5
167,scream,2
168,scream,3
169,scream,5
170,scream,4
171,scream,5
172,scream,4
173,scream,5
174,scream,5
175,scream,2
176,scream,5
177,scream,5
178,scream,4
179,scream,2
180,scream,5
181,scream,5
182,scream,5
183,scream,5
184,scream,5
185,scream,3
186,scream,4
187,scream,5
188,scream,5
189,scream,5
190,scream,5
191,scream,5
192,scream,5
193,scream,5
194,scream,5
195,scream,5
196,scream,5
197,scream,4
198,scream,5
199,scream,5
200,sweat,3
201,sweat,5
202,sweat,3
203,sweat,4
204,sweat,3
205,sweat,3
206,sweat,2
207,sweat,5
208,sweat,4
209,sweat,3
210,sweat,4
211,sweat,3
212,sweat,4
213,sweat,3
214,sweat,4
215,sweat,3
216,sweat,3
217,sweat,5
218,sweat,5
219,sweat,4
220,sweat,5
221,sweat,5
222,sweat,4
223,sweat,4
224,sweat,3
225,sweat,4
226,sweat,2
227,sweat,3
228,sweat,3
229,sweat,4
230,sweat,4
231,sweat,4
232,sweat,3
233,sweat,3
234,sweat,5
235,sweat,4
236,sweat,4
237,sweat,4
238,sweat,4
239,sweat,3
240,sweat,4
241,sweat,5
242,sweat,4
243,sweat,5
244,sweat,5
245,sweat,3
246,sweat,5
247,sweat,4
248,sweat,2
249,sweat,4
