,Input.emoji,Answer.rate
0,crying,5
1,crying,2
2,crying,4
3,crying,5
4,crying,4
5,crying,5
6,crying,5
7,crying,2
8,crying,5
9,crying,5
10,crying,4
11,crying,5
12,crying,5
13,crying,5
14,crying,5
15,crying,5
16,crying,4
17,crying,4
18,crying,5
19,crying,2
20,crying,5
21,crying,5
22,crying,2
23,crying,4
24,crying,4
25,crying,2
26,crying,5
27,crying,2
28,crying,5
29,crying,4
30,crying,5
31,crying,1
32,crying,4
33,crying,4
34,crying,4
35,crying,4
36,crying,5
37,crying,5
38,crying,5
39,crying,5
40,crying,4
41,crying,5
42,crying,1
43,crying,5
44,crying,4
45,crying,3
46,disappointed,1
47,disappointed,1
48,disappointed,5
49,disappointed,2
50,disappointed,5
51,disappointed,2
52,disappointed,4
53,disappointed,4
54,disappointed,1
55,disappointed,2
56,disappointed,4
57,disappointed,3
58,disappointed,2
59,disappointed,2
60,disappointed,3
61,disappointed,1
62,disappointed,4
63,disappointed,2
64,disappointed,3
65,disappointed,1
66,disappointed,1
67,disappointed,2
68,disappointed,4
69,disappointed,5
70,disappointed,1
71,disappointed,2
72,disappointed,2
73,disappointed,3
74,disappointed,1
75,disappointed,5
76,disappointed,2
77,disappointed,2
78,disappointed,4
79,disappointed,1
80,disappointed,4
81,disappointed,3
82,disappointed,2
83,disappointed,3
84,disappointed,4
85,disappointed,3
86,disappointed,3
87,disappointed,2
88,disappointed,1
89,disappointed,4
90,disappointed,1
91,disappointed,3
92,disappointed,4
93,disappointed,4
94,pensive,4
95,pensive,1
96,pensive,4
97,pensive,2
98,pensive,5
99,pensive,3
100,pensive,2
101,pensive,3
102,pensive,5
103,pensive,2
104,pensive,1
105,pensive,2
106,pensive,1
107,pensive,2
108,pensive,4
109,pensive,2
110,pensive,3
111,pensive,2
112,pensive,3
113,pensive,3
114,pensive,3
115,pensive,3
116,pensive,5
117,pensive,5
118,pensive,2
119,pensive,3
120,pensive,5
121,pensive,1
122,pensive,3
123,pensive,1
124,pensive,4
125,pensive,3
126,pensive,1
127,pensive,3
128,pensive,5
129,pensive,5
130,pensive,1
131,pensive,2
132,pensive,4
133,pensive,2
134,pensive,2
135,pensive,3
136,pensive,2
137,pensive,5
138,pensive,3
139,pensive,1
140,pensive,3
141,tear,5
142,tear,5
143,tear,3
144,tear,4
145,tear,3
146,tear,4
147,tear,3
148,tear,4
149,tear,1
150,tear,5
151,tear,3
152,tear,4
153,tear,3
154,tear,2
155,tear,4
156,tear,2
157,tear,1
158,tear,4
159,tear,4
160,tear,2
161,tear,2
162,tear,3
163,tear,2
164,tear,5
165,tear,1
166,tear,3
167,tear,4
168,tear,2
169,tear,4
170,tear,3
171,tear,4
172,tear,4
173,tear,4
174,tear,4
175,tear,4
176,tear,4
177,tear,4
178,tear,3
179,tear,4
180,tear,3
181,tear,3
182,tear,4
183,tear,4
184,tear,4
185,tear,2
186,tear,4
187,tear,3
188,tired,3
189,tired,5
190,tired,4
191,tired,1
192,tired,5
193,tired,4
194,tired,4
195,tired,5
196,tired,5
197,tired,4
198,tired,3
199,tired,3
200,tired,4
201,tired,2
202,tired,5
203,tired,4
204,tired,3
205,tired,5
206,tired,5
207,tired,4
208,tired,4
209,tired,4
210,tired,3
211,tired,4
212,tired,5
213,tired,5
214,tired,5
215,tired,4
216,tired,4
217,tired,4
218,tired,4
219,tired,3
220,tired,5
221,tired,3
222,tired,4
223,tired,3
224,tired,5
225,tired,5
226,tired,4
227,tired,5
228,tired,4
229,tired,3
230,tired,5
231,tired,4
232,tired,4
233,tired,3
234,tired,1
235,tired,3
236,weary,5
237,weary,5
238,weary,4
239,weary,4
240,weary,4
241,weary,4
242,weary,3
243,weary,4
244,weary,4
245,weary,5
246,weary,1
247,weary,1
248,weary,5
249,weary,5
250,weary,5
251,weary,5
252,weary,4
253,weary,3
254,weary,3
255,weary,4
256,weary,3
257,weary,5
258,weary,2
259,weary,2
260,weary,2
261,weary,4
262,weary,3
263,weary,5
264,weary,5
265,weary,4
266,weary,4
267,weary,3
268,weary,4
269,weary,5
270,weary,4
271,weary,2
272,weary,5
273,weary,4
274,weary,5
275,weary,5
276,weary,4
277,weary,2
278,weary,4
279,weary,3
280,weary,5
281,weary,4
