,Input.type,Input.emotion,Input.emoji_1,Input.emoji_2,Answer.choice,answers
0,less,angry,angry,pouting,optionB,pouting
1,less,angry,angry,pouting,optionB,pouting
2,less,angry,angry,pouting,optionA,angry
3,less,angry,angry,pouting,optionA,angry
4,less,angry,angry,pouting,optionA,angry
5,less,angry,angry,pouting,optionA,angry
6,less,angry,angry,pouting,optionA,angry
7,less,angry,angry,pouting,optionA,angry
8,less,angry,angry,pouting,optionA,angry
9,less,angry,angry,pouting,optionA,angry
10,less,angry,angry,pouting,optionA,angry
11,less,angry,angry,pouting,optionA,angry
12,less,angry,angry,pouting,optionB,pouting
13,less,angry,angry,pouting,optionA,angry
14,less,angry,angry,pouting,optionA,angry
15,less,angry,angry,pouting,optionB,pouting
16,less,angry,angry,steam,optionA,angry
17,less,angry,angry,steam,optionA,angry
18,less,angry,angry,steam,optionB,steam
19,less,angry,angry,steam,optionB,steam
20,less,angry,angry,steam,optionB,steam
21,less,angry,angry,steam,optionB,steam
22,less,angry,angry,steam,optionB,steam
23,less,angry,angry,steam,optionB,steam
24,less,angry,angry,steam,optionA,angry
25,less,angry,angry,steam,optionB,steam
26,less,angry,angry,steam,optionA,angry
27,less,angry,angry,steam,optionA,angry
28,less,angry,angry,steam,optionB,steam
29,less,angry,angry,steam,optionA,angry
30,less,angry,angry,steam,optionB,steam
31,less,angry,angry,steam,optionB,steam
32,less,angry,angry,steam,optionB,steam
33,less,angry,angry,horns,optionA,angry
34,less,angry,angry,horns,optionA,angry
35,less,angry,angry,horns,optionB,horns
36,less,angry,angry,horns,optionB,horns
37,less,angry,angry,horns,optionA,angry
38,less,angry,angry,horns,optionA,angry
39,less,angry,angry,horns,optionB,horns
40,less,angry,angry,horns,optionA,angry
41,less,angry,angry,horns,optionA,angry
42,less,angry,angry,horns,optionA,angry
43,less,angry,angry,horns,optionA,angry
44,less,angry,angry,horns,optionA,angry
45,less,angry,angry,horns,optionB,horns
46,less,angry,angry,horns,optionB,horns
47,less,angry,angry,horns,optionB,horns
48,less,angry,pouting,steam,optionA,pouting
49,less,angry,pouting,steam,optionB,steam
50,less,angry,pouting,steam,optionB,steam
51,less,angry,pouting,steam,optionB,steam
52,less,angry,pouting,steam,optionA,pouting
53,less,angry,pouting,steam,optionB,steam
54,less,angry,pouting,steam,optionB,steam
55,less,angry,pouting,steam,optionB,steam
56,less,angry,pouting,steam,optionB,steam
57,less,angry,pouting,steam,optionB,steam
58,less,angry,pouting,steam,optionA,pouting
59,less,angry,pouting,steam,optionB,steam
60,less,angry,pouting,steam,optionB,steam
61,less,angry,pouting,steam,optionA,pouting
62,less,angry,pouting,steam,optionB,steam
63,less,angry,pouting,steam,optionA,pouting
64,less,angry,pouting,horns,optionB,horns
65,less,angry,pouting,horns,optionB,horns
66,less,angry,pouting,horns,optionB,horns
67,less,angry,pouting,horns,optionA,pouting
68,less,angry,pouting,horns,optionA,pouting
69,less,angry,pouting,horns,optionB,horns
70,less,angry,pouting,horns,optionA,pouting
71,less,angry,pouting,horns,optionB,horns
72,less,angry,pouting,horns,optionA,pouting
73,less,angry,pouting,horns,optionA,pouting
74,less,angry,pouting,horns,optionA,pouting
75,less,angry,pouting,horns,optionA,pouting
76,less,angry,pouting,horns,optionA,pouting
77,less,angry,pouting,horns,optionA,pouting
78,less,angry,pouting,horns,optionB,horns
79,less,angry,pouting,horns,optionA,pouting
80,less,angry,steam,horns,optionA,steam
81,less,angry,steam,horns,optionB,horns
82,less,angry,steam,horns,optionA,steam
83,less,angry,steam,horns,optionA,steam
84,less,angry,steam,horns,optionB,horns
85,less,angry,steam,horns,optionA,steam
86,less,angry,steam,horns,optionA,steam
87,less,angry,steam,horns,optionA,steam
88,less,angry,steam,horns,optionB,horns
89,less,angry,steam,horns,optionA,steam
90,less,angry,steam,horns,optionB,horns
91,less,angry,steam,horns,optionB,horns
92,less,angry,steam,horns,optionA,steam
93,less,angry,steam,horns,optionB,horns
94,less,angry,steam,horns,optionA,steam
95,less,angry,steam,horns,optionA,steam
96,less,angry,pouting,angry,optionB,angry
97,less,angry,pouting,angry,optionA,pouting
98,less,angry,pouting,angry,optionB,angry
99,less,angry,pouting,angry,optionB,angry
100,less,angry,pouting,angry,optionA,pouting
101,less,angry,pouting,angry,optionB,angry
102,less,angry,pouting,angry,optionB,angry
103,less,angry,pouting,angry,optionA,pouting
104,less,angry,pouting,angry,optionB,angry
105,less,angry,pouting,angry,optionB,angry
106,less,angry,pouting,angry,optionB,angry
107,less,angry,pouting,angry,optionA,pouting
108,less,angry,pouting,angry,optionB,angry
109,less,angry,pouting,angry,optionB,angry
110,less,angry,pouting,angry,optionB,angry
111,less,angry,pouting,angry,optionB,angry
112,less,angry,pouting,angry,optionB,angry
113,less,angry,steam,angry,optionA,steam
114,less,angry,steam,angry,optionB,angry
115,less,angry,steam,angry,optionA,steam
116,less,angry,steam,angry,optionB,angry
117,less,angry,steam,angry,optionA,steam
118,less,angry,steam,angry,optionB,angry
119,less,angry,steam,angry,optionA,steam
120,less,angry,steam,angry,optionA,steam
121,less,angry,steam,angry,optionB,angry
122,less,angry,steam,angry,optionB,angry
123,less,angry,steam,angry,optionA,steam
124,less,angry,steam,angry,optionA,steam
125,less,angry,steam,angry,optionA,steam
126,less,angry,steam,angry,optionA,steam
127,less,angry,steam,angry,optionB,angry
128,less,angry,steam,angry,optionB,angry
129,less,angry,horns,angry,optionA,horns
130,less,angry,horns,angry,optionA,horns
131,less,angry,horns,angry,optionB,angry
132,less,angry,horns,angry,optionA,horns
133,less,angry,horns,angry,optionA,horns
134,less,angry,horns,angry,optionB,angry
135,less,angry,horns,angry,optionB,angry
136,less,angry,horns,angry,optionB,angry
137,less,angry,horns,angry,optionA,horns
138,less,angry,horns,angry,optionB,angry
139,less,angry,horns,angry,optionB,angry
140,less,angry,horns,angry,optionA,horns
141,less,angry,horns,angry,optionA,horns
142,less,angry,horns,angry,optionB,angry
143,less,angry,horns,angry,optionB,angry
144,less,angry,horns,angry,optionB,angry
145,less,angry,steam,pouting,optionA,steam
146,less,angry,steam,pouting,optionB,pouting
147,less,angry,steam,pouting,optionB,pouting
148,less,angry,steam,pouting,optionA,steam
149,less,angry,steam,pouting,optionA,steam
150,less,angry,steam,pouting,optionB,pouting
151,less,angry,steam,pouting,optionB,pouting
152,less,angry,steam,pouting,optionA,steam
153,less,angry,steam,pouting,optionA,steam
154,less,angry,steam,pouting,optionB,pouting
155,less,angry,steam,pouting,optionA,steam
156,less,angry,steam,pouting,optionA,steam
157,less,angry,steam,pouting,optionA,steam
158,less,angry,steam,pouting,optionA,steam
159,less,angry,steam,pouting,optionA,steam
160,less,angry,steam,pouting,optionA,steam
161,less,angry,horns,pouting,optionA,horns
162,less,angry,horns,pouting,optionB,pouting
163,less,angry,horns,pouting,optionB,pouting
164,less,angry,horns,pouting,optionB,pouting
165,less,angry,horns,pouting,optionA,horns
166,less,angry,horns,pouting,optionB,pouting
167,less,angry,horns,pouting,optionB,pouting
168,less,angry,horns,pouting,optionB,pouting
169,less,angry,horns,pouting,optionB,pouting
170,less,angry,horns,pouting,optionB,pouting
171,less,angry,horns,pouting,optionB,pouting
172,less,angry,horns,pouting,optionB,pouting
173,less,angry,horns,pouting,optionB,pouting
174,less,angry,horns,pouting,optionA,horns
175,less,angry,horns,pouting,optionA,horns
176,less,angry,horns,pouting,optionB,pouting
177,less,angry,horns,steam,optionA,horns
178,less,angry,horns,steam,optionA,horns
179,less,angry,horns,steam,optionB,steam
180,less,angry,horns,steam,optionA,horns
181,less,angry,horns,steam,optionA,horns
182,less,angry,horns,steam,optionB,steam
183,less,angry,horns,steam,optionB,steam
184,less,angry,horns,steam,optionB,steam
185,less,angry,horns,steam,optionB,steam
186,less,angry,horns,steam,optionB,steam
187,less,angry,horns,steam,optionB,steam
188,less,angry,horns,steam,optionB,steam
189,less,angry,horns,steam,optionB,steam
190,less,angry,horns,steam,optionB,steam
191,less,angry,horns,steam,optionB,steam
