,Input.type,Input.emotion,Input.emoji_1,Input.emoji_2,Answer.choice,answers
0,more,angry,angry,pouting,optionB,pouting
1,more,angry,angry,pouting,optionB,pouting
2,more,angry,angry,pouting,optionB,pouting
3,more,angry,angry,pouting,optionB,pouting
4,more,angry,angry,pouting,optionB,pouting
5,more,angry,angry,steam,optionB,steam
6,more,angry,angry,steam,optionB,steam
7,more,angry,angry,steam,optionB,steam
8,more,angry,angry,steam,optionB,steam
9,more,angry,angry,steam,optionB,steam
10,more,angry,angry,horns,optionB,horns
11,more,angry,angry,horns,optionB,horns
12,more,angry,angry,horns,optionB,horns
13,more,angry,angry,horns,optionB,horns
14,more,angry,angry,horns,optionB,horns
15,more,angry,pouting,steam,optionB,steam
16,more,angry,pouting,steam,optionA,pouting
17,more,angry,pouting,steam,optionB,steam
18,more,angry,pouting,steam,optionA,pouting
19,more,angry,pouting,steam,optionA,pouting
20,more,angry,pouting,horns,optionB,horns
21,more,angry,pouting,horns,optionB,horns
22,more,angry,pouting,horns,optionB,horns
23,more,angry,pouting,horns,optionB,horns
24,more,angry,pouting,horns,optionA,pouting
25,more,angry,steam,horns,optionA,steam
26,more,angry,steam,horns,optionB,horns
27,more,angry,steam,horns,optionB,horns
28,more,angry,steam,horns,optionA,steam
29,more,angry,steam,horns,optionB,horns
30,more,angry,angry,pouting,optionB,pouting
31,more,angry,angry,pouting,optionB,pouting
32,more,angry,angry,pouting,optionB,pouting
33,more,angry,angry,pouting,optionB,pouting
34,more,angry,angry,pouting,optionB,pouting
35,more,angry,angry,pouting,optionB,pouting
36,more,angry,angry,pouting,optionB,pouting
37,more,angry,angry,pouting,optionB,pouting
38,more,angry,angry,pouting,optionB,pouting
39,more,angry,angry,pouting,optionB,pouting
40,more,angry,angry,steam,optionB,steam
41,more,angry,angry,steam,optionA,angry
42,more,angry,angry,steam,optionA,angry
43,more,angry,angry,steam,optionA,angry
44,more,angry,angry,steam,optionB,steam
45,more,angry,angry,steam,optionA,angry
46,more,angry,angry,steam,optionB,steam
47,more,angry,angry,steam,optionB,steam
48,more,angry,angry,steam,optionB,steam
49,more,angry,angry,steam,optionA,angry
50,more,angry,angry,horns,optionA,angry
51,more,angry,angry,horns,optionB,horns
52,more,angry,angry,horns,optionB,horns
53,more,angry,angry,horns,optionB,horns
54,more,angry,angry,horns,optionB,horns
55,more,angry,angry,horns,optionA,angry
56,more,angry,angry,horns,optionA,angry
57,more,angry,angry,horns,optionA,angry
58,more,angry,angry,horns,optionB,horns
59,more,angry,angry,horns,optionB,horns
60,more,angry,pouting,steam,optionA,pouting
61,more,angry,pouting,steam,optionA,pouting
62,more,angry,pouting,steam,optionA,pouting
63,more,angry,pouting,steam,optionA,pouting
64,more,angry,pouting,steam,optionA,pouting
65,more,angry,pouting,steam,optionA,pouting
66,more,angry,pouting,steam,optionB,steam
67,more,angry,pouting,steam,optionB,steam
68,more,angry,pouting,steam,optionA,pouting
69,more,angry,pouting,steam,optionB,steam
70,more,angry,pouting,horns,optionA,pouting
71,more,angry,pouting,horns,optionB,horns
72,more,angry,pouting,horns,optionA,pouting
73,more,angry,pouting,horns,optionB,horns
74,more,angry,pouting,horns,optionA,pouting
75,more,angry,pouting,horns,optionB,horns
76,more,angry,pouting,horns,optionA,pouting
77,more,angry,pouting,horns,optionA,pouting
78,more,angry,pouting,horns,optionB,horns
79,more,angry,pouting,horns,optionA,pouting
80,more,angry,steam,horns,optionA,steam
81,more,angry,steam,horns,optionB,horns
82,more,angry,steam,horns,optionB,horns
83,more,angry,steam,horns,optionB,horns
84,more,angry,steam,horns,optionA,steam
85,more,angry,steam,horns,optionA,steam
86,more,angry,steam,horns,optionB,horns
87,more,angry,steam,horns,optionB,horns
88,more,angry,steam,horns,optionB,horns
89,more,angry,steam,horns,optionB,horns
90,more,angry,pouting,angry,optionA,pouting
91,more,angry,pouting,angry,optionA,pouting
92,more,angry,pouting,angry,optionA,pouting
93,more,angry,pouting,angry,optionA,pouting
94,more,angry,pouting,angry,optionA,pouting
95,more,angry,pouting,angry,optionA,pouting
96,more,angry,pouting,angry,optionA,pouting
97,more,angry,pouting,angry,optionA,pouting
98,more,angry,pouting,angry,optionA,pouting
99,more,angry,pouting,angry,optionA,pouting
100,more,angry,pouting,angry,optionB,angry
101,more,angry,pouting,angry,optionA,pouting
102,more,angry,pouting,angry,optionA,pouting
103,more,angry,pouting,angry,optionA,pouting
104,more,angry,pouting,angry,optionA,pouting
105,more,angry,steam,angry,optionA,steam
106,more,angry,steam,angry,optionA,steam
107,more,angry,steam,angry,optionB,angry
108,more,angry,steam,angry,optionA,steam
109,more,angry,steam,angry,optionB,angry
110,more,angry,steam,angry,optionA,steam
111,more,angry,steam,angry,optionB,angry
112,more,angry,steam,angry,optionB,angry
113,more,angry,steam,angry,optionA,steam
114,more,angry,steam,angry,optionB,angry
115,more,angry,steam,angry,optionA,steam
116,more,angry,steam,angry,optionB,angry
117,more,angry,steam,angry,optionA,steam
118,more,angry,steam,angry,optionB,angry
119,more,angry,steam,angry,optionB,angry
120,more,angry,horns,angry,optionB,angry
121,more,angry,horns,angry,optionA,horns
122,more,angry,horns,angry,optionA,horns
123,more,angry,horns,angry,optionB,angry
124,more,angry,horns,angry,optionA,horns
125,more,angry,horns,angry,optionA,horns
126,more,angry,horns,angry,optionA,horns
127,more,angry,horns,angry,optionA,horns
128,more,angry,horns,angry,optionA,horns
129,more,angry,horns,angry,optionA,horns
130,more,angry,horns,angry,optionB,angry
131,more,angry,horns,angry,optionB,angry
132,more,angry,horns,angry,optionA,horns
133,more,angry,horns,angry,optionA,horns
134,more,angry,horns,angry,optionA,horns
135,more,angry,steam,pouting,optionB,pouting
136,more,angry,steam,pouting,optionA,steam
137,more,angry,steam,pouting,optionB,pouting
138,more,angry,steam,pouting,optionB,pouting
139,more,angry,steam,pouting,optionB,pouting
140,more,angry,steam,pouting,optionB,pouting
141,more,angry,steam,pouting,optionA,steam
142,more,angry,steam,pouting,optionB,pouting
143,more,angry,steam,pouting,optionB,pouting
144,more,angry,steam,pouting,optionB,pouting
145,more,angry,steam,pouting,optionB,pouting
146,more,angry,steam,pouting,optionB,pouting
147,more,angry,steam,pouting,optionA,steam
148,more,angry,steam,pouting,optionB,pouting
149,more,angry,steam,pouting,optionB,pouting
150,more,angry,horns,pouting,optionB,pouting
151,more,angry,horns,pouting,optionB,pouting
152,more,angry,horns,pouting,optionA,horns
