,Input.type,Input.emotion,Input.emoji_1,Input.emoji_2,Answer.choice,answers
0,less,afraid,fearful,astonished,optionA,fearful
1,less,afraid,fearful,astonished,optionA,fearful
2,less,afraid,fearful,astonished,optionB,astonished
3,less,afraid,fearful,astonished,optionA,fearful
4,less,afraid,fearful,astonished,optionB,astonished
5,less,afraid,fearful,astonished,optionA,fearful
6,less,afraid,fearful,astonished,optionB,astonished
7,less,afraid,fearful,astonished,optionB,astonished
8,less,afraid,fearful,astonished,optionA,fearful
9,less,afraid,fearful,astonished,optionB,astonished
10,less,afraid,fearful,astonished,optionA,fearful
11,less,afraid,fearful,astonished,optionA,fearful
12,less,afraid,fearful,astonished,optionA,fearful
13,less,afraid,fearful,astonished,optionB,astonished
14,less,afraid,fearful,astonished,optionA,fearful
15,less,afraid,fearful,cat,optionA,fearful
16,less,afraid,fearful,cat,optionA,fearful
17,less,afraid,fearful,cat,optionA,fearful
18,less,afraid,fearful,cat,optionB,cat
19,less,afraid,fearful,cat,optionA,fearful
20,less,afraid,fearful,cat,optionB,cat
21,less,afraid,fearful,cat,optionA,fearful
22,less,afraid,fearful,cat,optionA,fearful
23,less,afraid,fearful,cat,optionA,fearful
24,less,afraid,fearful,cat,optionA,fearful
25,less,afraid,fearful,cat,optionA,fearful
26,less,afraid,fearful,cat,optionB,cat
27,less,afraid,fearful,cat,optionA,fearful
28,less,afraid,fearful,cat,optionA,fearful
29,less,afraid,fearful,cat,optionA,fearful
30,less,afraid,astonished,sweat,optionB,sweat
31,less,afraid,astonished,sweat,optionB,sweat
32,less,afraid,astonished,sweat,optionA,astonished
33,less,afraid,astonished,sweat,optionA,astonished
34,less,afraid,astonished,sweat,optionB,sweat
35,less,afraid,astonished,sweat,optionA,astonished
36,less,afraid,astonished,sweat,optionA,astonished
37,less,afraid,astonished,sweat,optionB,sweat
38,less,afraid,astonished,sweat,optionA,astonished
39,less,afraid,astonished,sweat,optionB,sweat
40,less,afraid,astonished,sweat,optionA,astonished
41,less,afraid,astonished,sweat,optionA,astonished
42,less,afraid,astonished,sweat,optionA,astonished
43,less,afraid,astonished,sweat,optionA,astonished
44,less,afraid,astonished,sweat,optionB,sweat
45,less,afraid,scream,sweat,optionB,sweat
46,less,afraid,scream,sweat,optionA,scream
47,less,afraid,scream,sweat,optionB,sweat
48,less,afraid,scream,sweat,optionB,sweat
49,less,afraid,scream,sweat,optionB,sweat
