,Input.type,Input.emotion,Input.emoji_1,Input.emoji_2,Answer.choice,answers
0,less,sad,crying,disappointed,optionB,disappointed
1,less,sad,crying,disappointed,optionA,crying
2,less,sad,crying,disappointed,optionB,disappointed
3,less,sad,crying,disappointed,optionB,disappointed
4,less,sad,crying,disappointed,optionB,disappointed
5,less,sad,crying,disappointed,optionA,crying
6,less,sad,crying,disappointed,optionB,disappointed
7,less,sad,crying,disappointed,optionB,disappointed
8,less,sad,crying,disappointed,optionB,disappointed
9,less,sad,crying,disappointed,optionB,disappointed
10,less,sad,crying,disappointed,optionA,crying
11,less,sad,crying,disappointed,optionA,crying
12,less,sad,crying,disappointed,optionB,disappointed
13,less,sad,crying,disappointed,optionA,crying
14,less,sad,crying,disappointed,optionB,disappointed
15,less,sad,crying,pensive,optionB,pensive
16,less,sad,crying,pensive,optionB,pensive
17,less,sad,crying,pensive,optionA,crying
18,less,sad,crying,pensive,optionA,crying
19,less,sad,crying,pensive,optionB,pensive
20,less,sad,crying,pensive,optionB,pensive
21,less,sad,crying,pensive,optionA,crying
22,less,sad,crying,pensive,optionB,pensive
23,less,sad,crying,pensive,optionA,crying
24,less,sad,crying,pensive,optionB,pensive
25,less,sad,crying,pensive,optionA,crying
26,less,sad,crying,pensive,optionB,pensive
27,less,sad,crying,pensive,optionB,pensive
28,less,sad,crying,pensive,optionB,pensive
29,less,sad,crying,pensive,optionA,crying
30,less,sad,crying,tear,optionA,crying
31,less,sad,crying,tear,optionB,tear
32,less,sad,crying,tear,optionA,crying
33,less,sad,crying,tear,optionB,tear
34,less,sad,crying,tear,optionA,crying
35,less,sad,crying,tear,optionB,tear
36,less,sad,crying,tear,optionB,tear
37,less,sad,crying,tear,optionB,tear
38,less,sad,crying,tear,optionB,tear
39,less,sad,crying,tear,optionB,tear
40,less,sad,crying,tear,optionA,crying
41,less,sad,crying,tear,optionB,tear
42,less,sad,crying,tear,optionA,crying
43,less,sad,crying,tear,optionB,tear
44,less,sad,crying,tear,optionB,tear
45,less,sad,crying,tired,optionB,tired
46,less,sad,crying,tired,optionA,crying
47,less,sad,crying,tired,optionB,tired
48,less,sad,crying,tired,optionB,tired
49,less,sad,crying,tired,optionB,tired
50,less,sad,crying,tired,optionA,crying
51,less,sad,crying,tired,optionA,crying
52,less,sad,crying,tired,optionB,tired
53,less,sad,crying,tired,optionA,crying
54,less,sad,crying,tired,optionA,crying
55,less,sad,crying,tired,optionB,tired
56,less,sad,crying,tired,optionA,crying
57,less,sad,crying,tired,optionB,tired
58,less,sad,crying,tired,optionB,tired
59,less,sad,crying,tired,optionB,tired
60,less,sad,crying,weary,optionB,weary
61,less,sad,crying,weary,optionA,crying
62,less,sad,crying,weary,optionB,weary
63,less,sad,crying,weary,optionB,weary
64,less,sad,crying,weary,optionB,weary
65,less,sad,crying,weary,optionB,weary
66,less,sad,crying,weary,optionA,crying
67,less,sad,crying,weary,optionB,weary
68,less,sad,crying,weary,optionB,weary
69,less,sad,crying,weary,optionA,crying
70,less,sad,crying,weary,optionA,crying
71,less,sad,crying,weary,optionB,weary
72,less,sad,crying,weary,optionB,weary
73,less,sad,crying,weary,optionB,weary
74,less,sad,crying,weary,optionB,weary
75,less,sad,disappointed,crying,optionA,disappointed
76,less,sad,disappointed,crying,optionA,disappointed
77,less,sad,disappointed,crying,optionA,disappointed
78,less,sad,disappointed,crying,optionA,disappointed
79,less,sad,disappointed,crying,optionB,crying
80,less,sad,disappointed,crying,optionA,disappointed
