,Input.type,Input.emotion,Input.emoji_1,Input.emoji_2,Answer.choice,answers
0,more,sad,crying,disappointed,optionA,crying
1,more,sad,crying,disappointed,optionA,crying
2,more,sad,crying,disappointed,optionA,crying
3,more,sad,crying,disappointed,optionA,crying
4,more,sad,crying,disappointed,optionB,disappointed
5,more,sad,crying,disappointed,optionB,disappointed
6,more,sad,crying,disappointed,optionA,crying
7,more,sad,crying,disappointed,optionB,disappointed
8,more,sad,crying,disappointed,optionA,crying
9,more,sad,crying,disappointed,optionA,crying
10,more,sad,crying,disappointed,optionB,disappointed
11,more,sad,crying,disappointed,optionB,disappointed
12,more,sad,crying,disappointed,optionB,disappointed
13,more,sad,crying,disappointed,optionA,crying
14,more,sad,crying,disappointed,optionB,disappointed
15,more,sad,crying,pensive,optionA,crying
16,more,sad,crying,pensive,optionB,pensive
17,more,sad,crying,pensive,optionB,pensive
18,more,sad,crying,pensive,optionA,crying
19,more,sad,crying,pensive,optionA,crying
20,more,sad,crying,pensive,optionA,crying
21,more,sad,crying,pensive,optionA,crying
22,more,sad,crying,pensive,optionA,crying
23,more,sad,crying,pensive,optionA,crying
24,more,sad,crying,pensive,optionB,pensive
25,more,sad,crying,pensive,optionB,pensive
26,more,sad,crying,pensive,optionB,pensive
27,more,sad,crying,pensive,optionA,crying
28,more,sad,crying,pensive,optionB,pensive
29,more,sad,crying,pensive,optionA,crying
30,more,sad,crying,tear,optionA,crying
31,more,sad,crying,tear,optionB,tear
32,more,sad,crying,tear,optionA,crying
33,more,sad,crying,tear,optionA,crying
34,more,sad,crying,tear,optionA,crying
35,more,sad,crying,tear,optionB,tear
36,more,sad,crying,tear,optionA,crying
37,more,sad,crying,tear,optionB,tear
38,more,sad,crying,tear,optionB,tear
39,more,sad,crying,tear,optionA,crying
40,more,sad,crying,tear,optionA,crying
41,more,sad,crying,tear,optionA,crying
42,more,sad,crying,tear,optionA,crying
43,more,sad,crying,tear,optionB,tear
44,more,sad,crying,tear,optionA,crying
45,more,sad,crying,tired,optionB,tired
46,more,sad,crying,tired,optionB,tired
47,more,sad,crying,tired,optionB,tired
48,more,sad,crying,tired,optionA,crying
49,more,sad,crying,tired,optionA,crying
50,more,sad,crying,tired,optionB,tired
51,more,sad,crying,tired,optionB,tired
52,more,sad,crying,tired,optionA,crying
53,more,sad,crying,tired,optionB,tired
54,more,sad,crying,tired,optionA,crying
55,more,sad,crying,tired,optionA,crying
56,more,sad,crying,tired,optionA,crying
57,more,sad,crying,tired,optionB,tired
58,more,sad,crying,tired,optionA,crying
59,more,sad,crying,tired,optionA,crying
60,more,sad,crying,weary,optionB,weary
61,more,sad,crying,weary,optionB,weary
62,more,sad,crying,weary,optionA,crying
63,more,sad,crying,weary,optionA,crying
64,more,sad,crying,weary,optionB,weary
65,more,sad,crying,weary,optionB,weary
66,more,sad,crying,weary,optionB,weary
67,more,sad,crying,weary,optionA,crying
68,more,sad,crying,weary,optionA,crying
69,more,sad,crying,weary,optionA,crying
70,more,sad,crying,weary,optionA,crying
71,more,sad,crying,weary,optionB,weary
72,more,sad,crying,weary,optionB,weary
73,more,sad,crying,weary,optionA,crying
74,more,sad,crying,weary,optionA,crying
75,more,sad,disappointed,crying,optionA,disappointed
76,more,sad,disappointed,crying,optionB,crying
77,more,sad,disappointed,crying,optionA,disappointed
78,more,sad,disappointed,crying,optionB,crying
79,more,sad,disappointed,crying,optionB,crying
80,more,sad,disappointed,crying,optionA,disappointed
81,more,sad,disappointed,crying,optionB,crying
82,more,sad,disappointed,crying,optionB,crying
83,more,sad,disappointed,crying,optionA,disappointed
84,more,sad,disappointed,crying,optionB,crying
85,more,sad,disappointed,crying,optionA,disappointed
86,more,sad,disappointed,crying,optionB,crying
87,more,sad,disappointed,crying,optionA,disappointed
88,more,sad,disappointed,crying,optionB,crying
89,more,sad,disappointed,crying,optionA,disappointed
90,more,sad,disappointed,pensive,optionB,pensive
91,more,sad,disappointed,pensive,optionB,pensive
92,more,sad,disappointed,pensive,optionA,disappointed
93,more,sad,disappointed,pensive,optionA,disappointed
94,more,sad,disappointed,pensive,optionA,disappointed
95,more,sad,disappointed,pensive,optionB,pensive
96,more,sad,disappointed,pensive,optionA,disappointed
97,more,sad,disappointed,pensive,optionB,pensive
98,more,sad,disappointed,pensive,optionB,pensive
99,more,sad,disappointed,pensive,optionA,disappointed
100,more,sad,disappointed,pensive,optionA,disappointed
101,more,sad,disappointed,pensive,optionA,disappointed
102,more,sad,disappointed,pensive,optionA,disappointed
103,more,sad,disappointed,pensive,optionA,disappointed
104,more,sad,disappointed,pensive,optionA,disappointed
105,more,sad,disappointed,tear,optionB,tear
106,more,sad,disappointed,tear,optionA,disappointed
107,more,sad,disappointed,tear,optionB,tear
108,more,sad,disappointed,tear,optionB,tear
109,more,sad,disappointed,tear,optionA,disappointed
110,more,sad,disappointed,tear,optionB,tear
111,more,sad,disappointed,tear,optionB,tear
112,more,sad,disappointed,tear,optionB,tear
113,more,sad,disappointed,tear,optionA,disappointed
114,more,sad,disappointed,tear,optionB,tear
115,more,sad,disappointed,tear,optionB,tear
116,more,sad,disappointed,tear,optionB,tear
117,more,sad,disappointed,tear,optionB,tear
118,more,sad,disappointed,tear,optionB,tear
119,more,sad,disappointed,tear,optionA,disappointed
120,more,sad,disappointed,tired,optionB,tired
121,more,sad,disappointed,tired,optionB,tired
122,more,sad,disappointed,tired,optionB,tired
123,more,sad,disappointed,tired,optionB,tired
