type,emotion,emoji_1,emoji_2
less,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png,https://s3.us-east-2.amazonaws.com/iw-emojis/pouting.png
less,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_steam.png
less,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_horns.png
less,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/pouting.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_steam.png
less,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/pouting.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_horns.png
less,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_steam.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_horns.png
less,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/pouting.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png
less,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_steam.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png
less,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_horns.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png
less,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_steam.png,https://s3.us-east-2.amazonaws.com/iw-emojis/pouting.png
less,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_horns.png,https://s3.us-east-2.amazonaws.com/iw-emojis/pouting.png
less,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_horns.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_steam.png
