HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.type,Input.emotion,Input.emoji_1,Input.emoji_2,Answer.choice,Approve,Reject
3PUOXASB57S1JJLFOJFH4AON0UMZ9Y,32A76CCALKTOPSFNVOZPMU5FGG74TN,Judge emotion of emojis,This survey will ask you to make judgements about the emotions expressed by a pair of emojis,"image, comparison, choose, abtest, emoji",$0.03,Wed Nov 21 08:30:15 PST 2018,5,BatchId:3444888;OriginalHitTemplateId:926158629;,240,432000,Wed Nov 28 08:30:15 PST 2018,,,3E7TUJ2EGDC122EDM3VM2218F80D9H,A3O1I9MATO3ZZN,Approved,Wed Nov 21 08:31:45 PST 2018,Wed Nov 21 08:31:49 PST 2018,Mon Nov 26 08:31:49 PST 2018,Wed Nov 21 08:40:15 PST 2018,,,4,100% (6/6),100% (6/6),100% (6/6),more,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png,https://s3.us-east-2.amazonaws.com/iw-emojis/pouting.png,optionB,,
3PUOXASB57S1JJLFOJFH4AON0UMZ9Y,32A76CCALKTOPSFNVOZPMU5FGG74TN,Judge emotion of emojis,This survey will ask you to make judgements about the emotions expressed by a pair of emojis,"image, comparison, choose, abtest, emoji",$0.03,Wed Nov 21 08:30:15 PST 2018,5,BatchId:3444888;OriginalHitTemplateId:926158629;,240,432000,Wed Nov 28 08:30:15 PST 2018,,,3K2755HG5TTA3C5QPPVECYNJI6VDF9,A2HWLIJP5OVFD5,Approved,Wed Nov 21 08:31:58 PST 2018,Wed Nov 21 08:32:06 PST 2018,Mon Nov 26 08:32:06 PST 2018,Wed Nov 21 08:40:15 PST 2018,,,8,100% (4/4),100% (4/4),100% (4/4),more,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png,https://s3.us-east-2.amazonaws.com/iw-emojis/pouting.png,optionB,,
3PUOXASB57S1JJLFOJFH4AON0UMZ9Y,32A76CCALKTOPSFNVOZPMU5FGG74TN,Judge emotion of emojis,This survey will ask you to make judgements about the emotions expressed by a pair of emojis,"image, comparison, choose, abtest, emoji",$0.03,Wed Nov 21 08:30:15 PST 2018,5,BatchId:3444888;OriginalHitTemplateId:926158629;,240,432000,Wed Nov 28 08:30:15 PST 2018,,,3PEIJLRY6UJQC4W26E6QATCBTRWXWS,A147F5PJTHOB8A,Approved,Wed Nov 21 08:30:48 PST 2018,Wed Nov 21 08:31:10 PST 2018,Mon Nov 26 08:31:10 PST 2018,Wed Nov 21 08:40:15 PST 2018,,,22,100% (69/69),100% (69/69),100% (69/69),more,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png,https://s3.us-east-2.amazonaws.com/iw-emojis/pouting.png,optionB,,
3PUOXASB57S1JJLFOJFH4AON0UMZ9Y,32A76CCALKTOPSFNVOZPMU5FGG74TN,Judge emotion of emojis,This survey will ask you to make judgements about the emotions expressed by a pair of emojis,"image, comparison, choose, abtest, emoji",$0.03,Wed Nov 21 08:30:15 PST 2018,5,BatchId:3444888;OriginalHitTemplateId:926158629;,240,432000,Wed Nov 28 08:30:15 PST 2018,,,3X66WABAJX8IZKZO7KVKHA1JS863G0,AKSJ3C5O3V9RB,Approved,Wed Nov 21 08:31:27 PST 2018,Wed Nov 21 08:32:17 PST 2018,Mon Nov 26 08:32:17 PST 2018,Wed Nov 21 08:40:15 PST 2018,,,50,100% (35/35),100% (35/35),100% (35/35),more,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png,https://s3.us-east-2.amazonaws.com/iw-emojis/pouting.png,optionB,,
3PUOXASB57S1JJLFOJFH4AON0UMZ9Y,32A76CCALKTOPSFNVOZPMU5FGG74TN,Judge emotion of emojis,This survey will ask you to make judgements about the emotions expressed by a pair of emojis,"image, comparison, choose, abtest, emoji",$0.03,Wed Nov 21 08:30:15 PST 2018,5,BatchId:3444888;OriginalHitTemplateId:926158629;,240,432000,Wed Nov 28 08:30:15 PST 2018,,,3Y9N9SS8LZ1FN0PX5UUCBPYMFGQD30,A1IU5OP7BBZHZ7,Approved,Wed Nov 21 08:31:12 PST 2018,Wed Nov 21 08:31:27 PST 2018,Mon Nov 26 08:31:27 PST 2018,Wed Nov 21 08:40:15 PST 2018,,,15,100% (10/10),100% (10/10),100% (10/10),more,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png,https://s3.us-east-2.amazonaws.com/iw-emojis/pouting.png,optionB,,
3126F2F5F8SO0BAQ9LX15QNKHSVPED,32A76CCALKTOPSFNVOZPMU5FGG74TN,Judge emotion of emojis,This survey will ask you to make judgements about the emotions expressed by a pair of emojis,"image, comparison, choose, abtest, emoji",$0.03,Wed Nov 21 08:30:15 PST 2018,5,BatchId:3444888;OriginalHitTemplateId:926158629;,240,432000,Wed Nov 28 08:30:15 PST 2018,,,3M0NZ3JDP2OL4GHXBV72HEF9HUR5ZH,A2HWLIJP5OVFD5,Approved,Wed Nov 21 08:31:25 PST 2018,Wed Nov 21 08:31:36 PST 2018,Mon Nov 26 08:31:36 PST 2018,Wed Nov 21 08:40:12 PST 2018,,,11,100% (4/4),100% (4/4),100% (4/4),more,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_steam.png,optionB,,
3126F2F5F8SO0BAQ9LX15QNKHSVPED,32A76CCALKTOPSFNVOZPMU5FGG74TN,Judge emotion of emojis,This survey will ask you to make judgements about the emotions expressed by a pair of emojis,"image, comparison, choose, abtest, emoji",$0.03,Wed Nov 21 08:30:15 PST 2018,5,BatchId:3444888;OriginalHitTemplateId:926158629;,240,432000,Wed Nov 28 08:30:15 PST 2018,,,3MB8LZR5BGJ4HALW3HKZBONTZBEKLY,A147F5PJTHOB8A,Approved,Wed Nov 21 08:31:11 PST 2018,Wed Nov 21 08:31:43 PST 2018,Mon Nov 26 08:31:43 PST 2018,Wed Nov 21 08:40:13 PST 2018,,,32,100% (69/69),100% (69/69),100% (69/69),more,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_steam.png,optionB,,
3126F2F5F8SO0BAQ9LX15QNKHSVPED,32A76CCALKTOPSFNVOZPMU5FGG74TN,Judge emotion of emojis,This survey will ask you to make judgements about the emotions expressed by a pair of emojis,"image, comparison, choose, abtest, emoji",$0.03,Wed Nov 21 08:30:15 PST 2018,5,BatchId:3444888;OriginalHitTemplateId:926158629;,240,432000,Wed Nov 28 08:30:15 PST 2018,,,3PXX5PX6LYOMSOQY0DIG37OSI56ABM,AKSJ3C5O3V9RB,Approved,Wed Nov 21 08:30:58 PST 2018,Wed Nov 21 08:31:11 PST 2018,Mon Nov 26 08:31:11 PST 2018,Wed Nov 21 08:40:13 PST 2018,,,13,100% (35/35),100% (35/35),100% (35/35),more,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_steam.png,optionB,,
3126F2F5F8SO0BAQ9LX15QNKHSVPED,32A76CCALKTOPSFNVOZPMU5FGG74TN,Judge emotion of emojis,This survey will ask you to make judgements about the emotions expressed by a pair of emojis,"image, comparison, choose, abtest, emoji",$0.03,Wed Nov 21 08:30:15 PST 2018,5,BatchId:3444888;OriginalHitTemplateId:926158629;,240,432000,Wed Nov 28 08:30:15 PST 2018,,,3S3AMIZX3VV300LGYN5D4S2GLT3DCY,A3O1I9MATO3ZZN,Approved,Wed Nov 21 08:31:50 PST 2018,Wed Nov 21 08:31:52 PST 2018,Mon Nov 26 08:31:52 PST 2018,Wed Nov 21 08:40:13 PST 2018,,,2,100% (6/6),100% (6/6),100% (6/6),more,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_steam.png,optionB,,
3126F2F5F8SO0BAQ9LX15QNKHSVPED,32A76CCALKTOPSFNVOZPMU5FGG74TN,Judge emotion of emojis,This survey will ask you to make judgements about the emotions expressed by a pair of emojis,"image, comparison, choose, abtest, emoji",$0.03,Wed Nov 21 08:30:15 PST 2018,5,BatchId:3444888;OriginalHitTemplateId:926158629;,240,432000,Wed Nov 28 08:30:15 PST 2018,,,3VNL7UK1XG9HK11NBFVTH255LSJFTU,A1GKEEI844CEKI,Approved,Wed Nov 21 08:31:57 PST 2018,Wed Nov 21 08:32:03 PST 2018,Mon Nov 26 08:32:03 PST 2018,Wed Nov 21 08:40:14 PST 2018,,,6,100% (19/19),100% (19/19),100% (19/19),more,angry,https://s3.us-east-2.amazonaws.com/iw-emojis/angry.png,https://s3.us-east-2.amazonaws.com/iw-emojis/angry_steam.png,optionB,,
