,Input.word,Input.emoji_1,Input.emoji_2,Input.emoji_3,Input.emoji_4,Answer.choice,answers
0,angry,angry,pouting,horns,steam,optionB,pouting
1,angry,angry,pouting,horns,steam,optionB,pouting
2,angry,angry,pouting,horns,steam,optionA,angry
3,angry,angry,pouting,horns,steam,optionB,pouting
4,angry,angry,pouting,horns,steam,optionB,pouting
5,angry,angry,pouting,horns,steam,optionA,angry
6,angry,angry,pouting,horns,steam,optionB,pouting
7,angry,angry,pouting,horns,steam,optionC,horns
8,angry,angry,pouting,horns,steam,optionB,pouting
9,angry,pouting,steam,angry,horns,optionA,pouting
10,angry,pouting,steam,angry,horns,optionD,horns
11,angry,pouting,steam,angry,horns,optionA,pouting
12,angry,pouting,steam,angry,horns,optionA,pouting
13,angry,pouting,steam,angry,horns,optionA,pouting
14,angry,pouting,steam,angry,horns,optionC,angry
15,angry,pouting,steam,angry,horns,optionA,pouting
16,angry,pouting,steam,angry,horns,optionA,pouting
17,angry,pouting,steam,angry,horns,optionA,pouting
18,angry,steam,angry,pouting,horns,optionB,angry
19,angry,steam,angry,pouting,horns,optionA,steam
20,angry,steam,angry,pouting,horns,optionC,pouting
21,angry,steam,angry,pouting,horns,optionB,angry
22,angry,steam,angry,pouting,horns,optionB,angry
23,angry,steam,angry,pouting,horns,optionC,pouting
24,angry,steam,angry,pouting,horns,optionC,pouting
25,angry,steam,angry,pouting,horns,optionC,pouting
26,angry,steam,angry,pouting,horns,optionC,pouting
27,angry,steam,pouting,horns,angry,optionB,pouting
28,angry,steam,pouting,horns,angry,optionB,pouting
29,angry,steam,pouting,horns,angry,optionB,pouting
30,angry,steam,pouting,horns,angry,optionB,pouting
31,angry,steam,pouting,horns,angry,optionB,pouting
32,angry,steam,pouting,horns,angry,optionB,pouting
33,angry,steam,pouting,horns,angry,optionB,pouting
34,angry,steam,pouting,horns,angry,optionB,pouting
35,angry,steam,pouting,horns,angry,optionB,pouting
36,angry,horns,pouting,angry,steam,optionB,pouting
37,angry,horns,pouting,angry,steam,optionB,pouting
38,angry,horns,pouting,angry,steam,optionA,horns
39,angry,horns,pouting,angry,steam,optionA,horns
40,angry,horns,pouting,angry,steam,optionD,steam
41,angry,horns,pouting,angry,steam,optionB,pouting
42,angry,horns,pouting,angry,steam,optionC,angry
43,angry,horns,pouting,angry,steam,optionB,pouting
44,angry,horns,pouting,angry,steam,optionD,steam
45,annoyed,angry,pouting,horns,steam,optionB,pouting
46,annoyed,angry,pouting,horns,steam,optionC,horns
47,annoyed,angry,pouting,horns,steam,optionD,steam
48,annoyed,angry,pouting,horns,steam,optionC,horns
49,annoyed,angry,pouting,horns,steam,optionB,pouting
50,annoyed,angry,pouting,horns,steam,optionD,steam
51,annoyed,angry,pouting,horns,steam,optionD,steam
52,annoyed,angry,pouting,horns,steam,optionD,steam
53,annoyed,angry,pouting,horns,steam,optionA,angry
54,annoyed,pouting,steam,angry,horns,optionC,angry
55,annoyed,pouting,steam,angry,horns,optionB,steam
56,annoyed,pouting,steam,angry,horns,optionC,angry
57,annoyed,pouting,steam,angry,horns,optionD,horns
58,annoyed,pouting,steam,angry,horns,optionC,angry
59,annoyed,pouting,steam,angry,horns,optionB,steam
60,annoyed,pouting,steam,angry,horns,optionC,angry
61,annoyed,pouting,steam,angry,horns,optionC,angry
62,annoyed,pouting,steam,angry,horns,optionC,angry
63,annoyed,steam,angry,pouting,horns,optionD,horns
64,annoyed,steam,angry,pouting,horns,optionA,steam
65,annoyed,steam,angry,pouting,horns,optionB,angry
66,annoyed,steam,angry,pouting,horns,optionA,steam
67,annoyed,steam,angry,pouting,horns,optionB,angry
68,annoyed,steam,angry,pouting,horns,optionB,angry
69,annoyed,steam,angry,pouting,horns,optionC,pouting
70,annoyed,steam,angry,pouting,horns,optionC,pouting
71,annoyed,steam,angry,pouting,horns,optionA,steam
72,annoyed,steam,pouting,horns,angry,optionC,horns
73,annoyed,steam,pouting,horns,angry,optionC,horns
74,annoyed,steam,pouting,horns,angry,optionD,angry
75,annoyed,steam,pouting,horns,angry,optionD,angry
76,annoyed,steam,pouting,horns,angry,optionB,pouting
77,annoyed,steam,pouting,horns,angry,optionD,angry
78,annoyed,steam,pouting,horns,angry,optionA,steam
79,annoyed,steam,pouting,horns,angry,optionD,angry
80,annoyed,steam,pouting,horns,angry,optionD,angry
81,annoyed,horns,pouting,angry,steam,optionA,horns
82,annoyed,horns,pouting,angry,steam,optionA,horns
83,annoyed,horns,pouting,angry,steam,optionC,angry
84,annoyed,horns,pouting,angry,steam,optionB,pouting
85,annoyed,horns,pouting,angry,steam,optionD,steam
86,annoyed,horns,pouting,angry,steam,optionD,steam
87,annoyed,horns,pouting,angry,steam,optionC,angry
88,annoyed,horns,pouting,angry,steam,optionD,steam
89,annoyed,horns,pouting,angry,steam,optionC,angry
90,irritated,angry,pouting,horns,steam,optionA,angry
91,irritated,angry,pouting,horns,steam,optionA,angry
92,irritated,angry,pouting,horns,steam,optionB,pouting
93,irritated,angry,pouting,horns,steam,optionA,angry
94,irritated,angry,pouting,horns,steam,optionA,angry
95,irritated,angry,pouting,horns,steam,optionC,horns
96,irritated,angry,pouting,horns,steam,optionD,steam
97,irritated,angry,pouting,horns,steam,optionD,steam
98,irritated,angry,pouting,horns,steam,optionA,angry
99,irritated,pouting,steam,angry,horns,optionC,angry
100,irritated,pouting,steam,angry,horns,optionC,angry
101,irritated,pouting,steam,angry,horns,optionB,steam
102,irritated,pouting,steam,angry,horns,optionC,angry
103,irritated,pouting,steam,angry,horns,optionC,angry
104,irritated,pouting,steam,angry,horns,optionC,angry
105,irritated,pouting,steam,angry,horns,optionC,angry
106,irritated,pouting,steam,angry,horns,optionA,pouting
107,irritated,pouting,steam,angry,horns,optionB,steam
108,irritated,steam,angry,pouting,horns,optionC,pouting
109,irritated,steam,angry,pouting,horns,optionB,angry
110,irritated,steam,angry,pouting,horns,optionB,angry
111,irritated,steam,angry,pouting,horns,optionA,steam
112,irritated,steam,angry,pouting,horns,optionA,steam
113,irritated,steam,angry,pouting,horns,optionA,steam
114,irritated,steam,angry,pouting,horns,optionB,angry
115,irritated,steam,angry,pouting,horns,optionB,angry
116,irritated,steam,angry,pouting,horns,optionC,pouting
117,irritated,steam,pouting,horns,angry,optionB,pouting
118,irritated,steam,pouting,horns,angry,optionB,pouting
119,irritated,steam,pouting,horns,angry,optionA,steam
120,irritated,steam,pouting,horns,angry,optionA,steam
121,irritated,steam,pouting,horns,angry,optionD,angry
122,irritated,steam,pouting,horns,angry,optionD,angry
123,irritated,steam,pouting,horns,angry,optionD,angry
124,irritated,steam,pouting,horns,angry,optionD,angry
125,irritated,steam,pouting,horns,angry,optionD,angry
126,irritated,horns,pouting,angry,steam,optionD,steam
127,irritated,horns,pouting,angry,steam,optionB,pouting
128,irritated,horns,pouting,angry,steam,optionC,angry
129,irritated,horns,pouting,angry,steam,optionB,pouting
130,irritated,horns,pouting,angry,steam,optionA,horns
131,irritated,horns,pouting,angry,steam,optionA,horns
132,irritated,horns,pouting,angry,steam,optionB,pouting
133,irritated,horns,pouting,angry,steam,optionD,steam
134,irritated,horns,pouting,angry,steam,optionC,angry
