,Input.word,Input.emoji_1,Input.emoji_2,Input.emoji_3,Input.emoji_4,Input.emoji_5,Answer.choice,answers
0,afraid,astonished,fearful,sweat,cat,scream,optionB,fearful
1,afraid,astonished,fearful,sweat,cat,scream,optionE,scream
2,afraid,astonished,fearful,sweat,cat,scream,optionE,scream
3,afraid,astonished,fearful,sweat,cat,scream,optionE,scream
4,afraid,astonished,fearful,sweat,cat,scream,optionE,scream
5,afraid,astonished,fearful,sweat,cat,scream,optionB,fearful
6,afraid,astonished,fearful,sweat,cat,scream,optionE,scream
7,afraid,astonished,fearful,sweat,cat,scream,optionE,scream
8,afraid,astonished,fearful,sweat,cat,scream,optionC,sweat
9,afraid,astonished,fearful,sweat,cat,scream,optionE,scream
10,afraid,cat,scream,astonished,fearful,sweat,optionC,astonished
11,afraid,cat,scream,astonished,fearful,sweat,optionB,scream
12,afraid,cat,scream,astonished,fearful,sweat,optionB,scream
13,afraid,cat,scream,astonished,fearful,sweat,optionB,scream
14,afraid,cat,scream,astonished,fearful,sweat,optionD,fearful
15,afraid,cat,scream,astonished,fearful,sweat,optionB,scream
16,afraid,cat,scream,astonished,fearful,sweat,optionE,sweat
17,afraid,cat,scream,astonished,fearful,sweat,optionB,scream
18,afraid,cat,scream,astonished,fearful,sweat,optionB,scream
19,afraid,cat,scream,astonished,fearful,sweat,optionE,sweat
20,afraid,fearful,sweat,scream,cat,astonished,optionB,sweat
21,afraid,fearful,sweat,scream,cat,astonished,optionD,cat
22,afraid,fearful,sweat,scream,cat,astonished,optionD,cat
23,afraid,fearful,sweat,scream,cat,astonished,optionC,scream
24,afraid,fearful,sweat,scream,cat,astonished,optionC,scream
25,afraid,fearful,sweat,scream,cat,astonished,optionC,scream
26,afraid,fearful,sweat,scream,cat,astonished,optionE,astonished
27,afraid,fearful,sweat,scream,cat,astonished,optionA,fearful
28,afraid,fearful,sweat,scream,cat,astonished,optionC,scream
29,afraid,fearful,sweat,scream,cat,astonished,optionC,scream
30,afraid,scream,astonished,fearful,sweat,cat,optionB,astonished
31,afraid,scream,astonished,fearful,sweat,cat,optionE,cat
32,afraid,scream,astonished,fearful,sweat,cat,optionA,scream
33,afraid,scream,astonished,fearful,sweat,cat,optionA,scream
34,afraid,scream,astonished,fearful,sweat,cat,optionD,sweat
35,afraid,scream,astonished,fearful,sweat,cat,optionA,scream
36,afraid,scream,astonished,fearful,sweat,cat,optionC,fearful
37,afraid,scream,astonished,fearful,sweat,cat,optionA,scream
38,afraid,scream,astonished,fearful,sweat,cat,optionE,cat
39,afraid,scream,astonished,fearful,sweat,cat,optionD,sweat
40,afraid,sweat,astonished,cat,scream,fearful,optionA,sweat
41,afraid,sweat,astonished,cat,scream,fearful,optionD,scream
42,afraid,sweat,astonished,cat,scream,fearful,optionE,fearful
43,afraid,sweat,astonished,cat,scream,fearful,optionD,scream
44,afraid,sweat,astonished,cat,scream,fearful,optionD,scream
45,afraid,sweat,astonished,cat,scream,fearful,optionC,cat
46,afraid,sweat,astonished,cat,scream,fearful,optionD,scream
47,afraid,sweat,astonished,cat,scream,fearful,optionC,cat
48,afraid,sweat,astonished,cat,scream,fearful,optionD,scream
49,afraid,sweat,astonished,cat,scream,fearful,optionD,scream
50,scared,astonished,fearful,sweat,cat,scream,optionE,scream
51,scared,astonished,fearful,sweat,cat,scream,optionE,scream
52,scared,astonished,fearful,sweat,cat,scream,optionE,scream
53,scared,astonished,fearful,sweat,cat,scream,optionC,sweat
54,scared,astonished,fearful,sweat,cat,scream,optionD,cat
55,scared,astonished,fearful,sweat,cat,scream,optionE,scream
56,scared,astonished,fearful,sweat,cat,scream,optionE,scream
57,scared,astonished,fearful,sweat,cat,scream,optionE,scream
58,scared,astonished,fearful,sweat,cat,scream,optionB,fearful
59,scared,astonished,fearful,sweat,cat,scream,optionC,sweat
60,scared,cat,scream,astonished,fearful,sweat,optionB,scream
61,scared,cat,scream,astonished,fearful,sweat,optionA,cat
62,scared,cat,scream,astonished,fearful,sweat,optionE,sweat
63,scared,cat,scream,astonished,fearful,sweat,optionB,scream
64,scared,cat,scream,astonished,fearful,sweat,optionA,cat
65,scared,cat,scream,astonished,fearful,sweat,optionB,scream
66,scared,cat,scream,astonished,fearful,sweat,optionA,cat
67,scared,cat,scream,astonished,fearful,sweat,optionD,fearful
68,scared,cat,scream,astonished,fearful,sweat,optionB,scream
69,scared,cat,scream,astonished,fearful,sweat,optionB,scream
70,scared,fearful,sweat,scream,cat,astonished,optionB,sweat
71,scared,fearful,sweat,scream,cat,astonished,optionA,fearful
72,scared,fearful,sweat,scream,cat,astonished,optionB,sweat
73,scared,fearful,sweat,scream,cat,astonished,optionC,scream
74,scared,fearful,sweat,scream,cat,astonished,optionB,sweat
75,scared,fearful,sweat,scream,cat,astonished,optionC,scream
76,scared,fearful,sweat,scream,cat,astonished,optionD,cat
77,scared,fearful,sweat,scream,cat,astonished,optionC,scream
78,scared,fearful,sweat,scream,cat,astonished,optionC,scream
79,scared,fearful,sweat,scream,cat,astonished,optionD,cat
80,scared,scream,astonished,fearful,sweat,cat,optionA,scream
81,scared,scream,astonished,fearful,sweat,cat,optionE,cat
82,scared,scream,astonished,fearful,sweat,cat,optionA,scream
83,scared,scream,astonished,fearful,sweat,cat,optionA,scream
84,scared,scream,astonished,fearful,sweat,cat,optionA,scream
85,scared,scream,astonished,fearful,sweat,cat,optionC,fearful
86,scared,scream,astonished,fearful,sweat,cat,optionD,sweat
87,scared,scream,astonished,fearful,sweat,cat,optionD,sweat
88,scared,scream,astonished,fearful,sweat,cat,optionA,scream
89,scared,scream,astonished,fearful,sweat,cat,optionA,scream
90,scared,sweat,astonished,cat,scream,fearful,optionD,scream
91,scared,sweat,astonished,cat,scream,fearful,optionC,cat
92,scared,sweat,astonished,cat,scream,fearful,optionC,cat
93,scared,sweat,astonished,cat,scream,fearful,optionD,scream
94,scared,sweat,astonished,cat,scream,fearful,optionA,sweat
95,scared,sweat,astonished,cat,scream,fearful,optionE,fearful
96,scared,sweat,astonished,cat,scream,fearful,optionB,astonished
97,scared,sweat,astonished,cat,scream,fearful,optionD,scream
98,scared,sweat,astonished,cat,scream,fearful,optionA,sweat
99,scared,sweat,astonished,cat,scream,fearful,optionA,sweat
100,intimidated,astonished,fearful,sweat,cat,scream,optionE,scream
101,intimidated,astonished,fearful,sweat,cat,scream,optionB,fearful
102,intimidated,astonished,fearful,sweat,cat,scream,optionA,astonished
103,intimidated,astonished,fearful,sweat,cat,scream,optionA,astonished
104,intimidated,astonished,fearful,sweat,cat,scream,optionD,cat
105,intimidated,astonished,fearful,sweat,cat,scream,optionA,astonished
106,intimidated,astonished,fearful,sweat,cat,scream,optionC,sweat
107,intimidated,astonished,fearful,sweat,cat,scream,optionB,fearful
108,intimidated,astonished,fearful,sweat,cat,scream,optionC,sweat
109,intimidated,astonished,fearful,sweat,cat,scream,optionB,fearful
110,intimidated,cat,scream,astonished,fearful,sweat,optionC,astonished
111,intimidated,cat,scream,astonished,fearful,sweat,optionC,astonished
112,intimidated,cat,scream,astonished,fearful,sweat,optionB,scream
113,intimidated,cat,scream,astonished,fearful,sweat,optionE,sweat
114,intimidated,cat,scream,astonished,fearful,sweat,optionA,cat
115,intimidated,cat,scream,astonished,fearful,sweat,optionE,sweat
116,intimidated,cat,scream,astonished,fearful,sweat,optionD,fearful
117,intimidated,cat,scream,astonished,fearful,sweat,optionE,sweat
118,intimidated,cat,scream,astonished,fearful,sweat,optionD,fearful
119,intimidated,cat,scream,astonished,fearful,sweat,optionD,fearful
120,intimidated,fearful,sweat,scream,cat,astonished,optionC,scream
121,intimidated,fearful,sweat,scream,cat,astonished,optionD,cat
122,intimidated,fearful,sweat,scream,cat,astonished,optionA,fearful
123,intimidated,fearful,sweat,scream,cat,astonished,optionB,sweat
124,intimidated,fearful,sweat,scream,cat,astonished,optionB,sweat
125,intimidated,fearful,sweat,scream,cat,astonished,optionC,scream
126,intimidated,fearful,sweat,scream,cat,astonished,optionA,fearful
127,intimidated,fearful,sweat,scream,cat,astonished,optionB,sweat
128,intimidated,fearful,sweat,scream,cat,astonished,optionA,fearful
129,intimidated,fearful,sweat,scream,cat,astonished,optionE,astonished
130,intimidated,scream,astonished,fearful,sweat,cat,optionC,fearful
131,intimidated,scream,astonished,fearful,sweat,cat,optionC,fearful
132,intimidated,scream,astonished,fearful,sweat,cat,optionC,fearful
133,intimidated,scream,astonished,fearful,sweat,cat,optionB,astonished
134,intimidated,scream,astonished,fearful,sweat,cat,optionD,sweat
135,intimidated,scream,astonished,fearful,sweat,cat,optionA,scream
136,intimidated,scream,astonished,fearful,sweat,cat,optionC,fearful
137,intimidated,scream,astonished,fearful,sweat,cat,optionC,fearful
138,intimidated,scream,astonished,fearful,sweat,cat,optionE,cat
139,intimidated,scream,astonished,fearful,sweat,cat,optionB,astonished
140,intimidated,sweat,astonished,cat,scream,fearful,optionC,cat
141,intimidated,sweat,astonished,cat,scream,fearful,optionD,scream
142,intimidated,sweat,astonished,cat,scream,fearful,optionC,cat
143,intimidated,sweat,astonished,cat,scream,fearful,optionD,scream
144,intimidated,sweat,astonished,cat,scream,fearful,optionA,sweat
145,intimidated,sweat,astonished,cat,scream,fearful,optionE,fearful
146,intimidated,sweat,astonished,cat,scream,fearful,optionB,astonished
147,intimidated,sweat,astonished,cat,scream,fearful,optionB,astonished
148,intimidated,sweat,astonished,cat,scream,fearful,optionE,fearful
149,intimidated,sweat,astonished,cat,scream,fearful,optionE,fearful
150,alarmed,astonished,fearful,sweat,cat,scream,optionE,scream
151,alarmed,astonished,fearful,sweat,cat,scream,optionA,astonished
152,alarmed,astonished,fearful,sweat,cat,scream,optionD,cat
153,alarmed,astonished,fearful,sweat,cat,scream,optionD,cat
154,alarmed,astonished,fearful,sweat,cat,scream,optionA,astonished
155,alarmed,astonished,fearful,sweat,cat,scream,optionA,astonished
156,alarmed,astonished,fearful,sweat,cat,scream,optionA,astonished
157,alarmed,astonished,fearful,sweat,cat,scream,optionE,scream
158,alarmed,astonished,fearful,sweat,cat,scream,optionB,fearful
159,alarmed,astonished,fearful,sweat,cat,scream,optionE,scream
160,alarmed,cat,scream,astonished,fearful,sweat,optionC,astonished
161,alarmed,cat,scream,astonished,fearful,sweat,optionA,cat
162,alarmed,cat,scream,astonished,fearful,sweat,optionC,astonished
163,alarmed,cat,scream,astonished,fearful,sweat,optionB,scream
164,alarmed,cat,scream,astonished,fearful,sweat,optionB,scream
165,alarmed,cat,scream,astonished,fearful,sweat,optionC,astonished
166,alarmed,cat,scream,astonished,fearful,sweat,optionC,astonished
167,alarmed,cat,scream,astonished,fearful,sweat,optionB,scream
168,alarmed,cat,scream,astonished,fearful,sweat,optionB,scream
169,alarmed,cat,scream,astonished,fearful,sweat,optionB,scream
170,alarmed,fearful,sweat,scream,cat,astonished,optionE,astonished
171,alarmed,fearful,sweat,scream,cat,astonished,optionC,scream
172,alarmed,fearful,sweat,scream,cat,astonished,optionC,scream
173,alarmed,fearful,sweat,scream,cat,astonished,optionE,astonished
174,alarmed,fearful,sweat,scream,cat,astonished,optionA,fearful
175,alarmed,fearful,sweat,scream,cat,astonished,optionB,sweat
176,alarmed,fearful,sweat,scream,cat,astonished,optionC,scream
177,alarmed,fearful,sweat,scream,cat,astonished,optionE,astonished
178,alarmed,fearful,sweat,scream,cat,astonished,optionE,astonished
179,alarmed,fearful,sweat,scream,cat,astonished,optionC,scream
180,alarmed,scream,astonished,fearful,sweat,cat,optionD,sweat
181,alarmed,scream,astonished,fearful,sweat,cat,optionE,cat
182,alarmed,scream,astonished,fearful,sweat,cat,optionC,fearful
183,alarmed,scream,astonished,fearful,sweat,cat,optionA,scream
184,alarmed,scream,astonished,fearful,sweat,cat,optionB,astonished
185,alarmed,scream,astonished,fearful,sweat,cat,optionB,astonished
186,alarmed,scream,astonished,fearful,sweat,cat,optionC,fearful
187,alarmed,scream,astonished,fearful,sweat,cat,optionB,astonished
188,alarmed,scream,astonished,fearful,sweat,cat,optionB,astonished
189,alarmed,scream,astonished,fearful,sweat,cat,optionB,astonished
190,alarmed,sweat,astonished,cat,scream,fearful,optionB,astonished
191,alarmed,sweat,astonished,cat,scream,fearful,optionB,astonished
192,alarmed,sweat,astonished,cat,scream,fearful,optionD,scream
193,alarmed,sweat,astonished,cat,scream,fearful,optionE,fearful
194,alarmed,sweat,astonished,cat,scream,fearful,optionA,sweat
195,alarmed,sweat,astonished,cat,scream,fearful,optionD,scream
196,alarmed,sweat,astonished,cat,scream,fearful,optionE,fearful
197,alarmed,sweat,astonished,cat,scream,fearful,optionE,fearful
198,alarmed,sweat,astonished,cat,scream,fearful,optionE,fearful
199,alarmed,sweat,astonished,cat,scream,fearful,optionB,astonished
200,frightened,astonished,fearful,sweat,cat,scream,optionE,scream
201,frightened,astonished,fearful,sweat,cat,scream,optionD,cat
202,frightened,astonished,fearful,sweat,cat,scream,optionE,scream
203,frightened,astonished,fearful,sweat,cat,scream,optionD,cat
204,frightened,astonished,fearful,sweat,cat,scream,optionD,cat
205,frightened,astonished,fearful,sweat,cat,scream,optionC,sweat
206,frightened,astonished,fearful,sweat,cat,scream,optionE,scream
207,frightened,astonished,fearful,sweat,cat,scream,optionC,sweat
208,frightened,astonished,fearful,sweat,cat,scream,optionE,scream
209,frightened,astonished,fearful,sweat,cat,scream,optionD,cat
210,frightened,cat,scream,astonished,fearful,sweat,optionB,scream
211,frightened,cat,scream,astonished,fearful,sweat,optionC,astonished
212,frightened,cat,scream,astonished,fearful,sweat,optionB,scream
213,frightened,cat,scream,astonished,fearful,sweat,optionD,fearful
214,frightened,cat,scream,astonished,fearful,sweat,optionE,sweat
215,frightened,cat,scream,astonished,fearful,sweat,optionA,cat
216,frightened,cat,scream,astonished,fearful,sweat,optionB,scream
217,frightened,cat,scream,astonished,fearful,sweat,optionB,scream
218,frightened,cat,scream,astonished,fearful,sweat,optionE,sweat
219,frightened,cat,scream,astonished,fearful,sweat,optionA,cat
220,frightened,fearful,sweat,scream,cat,astonished,optionD,cat
221,frightened,fearful,sweat,scream,cat,astonished,optionC,scream
222,frightened,fearful,sweat,scream,cat,astonished,optionC,scream
223,frightened,fearful,sweat,scream,cat,astonished,optionC,scream
224,frightened,fearful,sweat,scream,cat,astonished,optionC,scream
225,frightened,fearful,sweat,scream,cat,astonished,optionC,scream
226,frightened,fearful,sweat,scream,cat,astonished,optionC,scream
227,frightened,fearful,sweat,scream,cat,astonished,optionD,cat
228,frightened,fearful,sweat,scream,cat,astonished,optionB,sweat
229,frightened,fearful,sweat,scream,cat,astonished,optionD,cat
230,frightened,scream,astonished,fearful,sweat,cat,optionC,fearful
231,frightened,scream,astonished,fearful,sweat,cat,optionC,fearful
232,frightened,scream,astonished,fearful,sweat,cat,optionD,sweat
233,frightened,scream,astonished,fearful,sweat,cat,optionA,scream
234,frightened,scream,astonished,fearful,sweat,cat,optionD,sweat
235,frightened,scream,astonished,fearful,sweat,cat,optionC,fearful
