,Input.word,Input.emoji_1,Input.emoji_2,Input.emoji_3,Input.emoji_4,Input.emoji_5,Input.emoji_6,Answer.choice,answers
0,depressed,crying,tired,disappointed,pensive,tear,weary,optionF,weary
1,depressed,crying,tired,disappointed,pensive,tear,weary,optionC,disappointed
2,depressed,crying,tired,disappointed,pensive,tear,weary,optionC,disappointed
3,depressed,crying,tired,disappointed,pensive,tear,weary,optionC,disappointed
4,depressed,crying,tired,disappointed,pensive,tear,weary,optionA,crying
5,depressed,crying,tired,disappointed,pensive,tear,weary,optionC,disappointed
6,depressed,crying,tired,disappointed,pensive,tear,weary,optionC,disappointed
7,depressed,crying,tired,disappointed,pensive,tear,weary,optionD,pensive
8,depressed,crying,tired,disappointed,pensive,tear,weary,optionD,pensive
9,depressed,crying,tired,disappointed,pensive,tear,weary,optionC,disappointed
10,depressed,weary,disappointed,pensive,tired,crying,tear,optionB,disappointed
11,depressed,weary,disappointed,pensive,tired,crying,tear,optionB,disappointed
12,depressed,weary,disappointed,pensive,tired,crying,tear,optionC,pensive
13,depressed,weary,disappointed,pensive,tired,crying,tear,optionF,tear
14,depressed,weary,disappointed,pensive,tired,crying,tear,optionF,tear
15,depressed,weary,disappointed,pensive,tired,crying,tear,optionC,pensive
16,depressed,weary,disappointed,pensive,tired,crying,tear,optionC,pensive
17,depressed,weary,disappointed,pensive,tired,crying,tear,optionA,weary
18,depressed,weary,disappointed,pensive,tired,crying,tear,optionA,weary
19,depressed,weary,disappointed,pensive,tired,crying,tear,optionA,weary
20,depressed,tear,tired,weary,pensive,crying,disappointed,optionE,crying
21,depressed,tear,tired,weary,pensive,crying,disappointed,optionD,pensive
22,depressed,tear,tired,weary,pensive,crying,disappointed,optionC,weary
23,depressed,tear,tired,weary,pensive,crying,disappointed,optionD,pensive
24,depressed,tear,tired,weary,pensive,crying,disappointed,optionF,disappointed
25,depressed,tear,tired,weary,pensive,crying,disappointed,optionA,tear
26,depressed,tear,tired,weary,pensive,crying,disappointed,optionE,crying
27,depressed,tear,tired,weary,pensive,crying,disappointed,optionF,disappointed
28,depressed,tear,tired,weary,pensive,crying,disappointed,optionC,weary
29,depressed,tear,tired,weary,pensive,crying,disappointed,optionD,pensive
30,depressed,pensive,tired,weary,tear,disappointed,crying,optionC,weary
31,depressed,pensive,tired,weary,tear,disappointed,crying,optionC,weary
32,depressed,pensive,tired,weary,tear,disappointed,crying,optionA,pensive
33,depressed,pensive,tired,weary,tear,disappointed,crying,optionA,pensive
34,depressed,pensive,tired,weary,tear,disappointed,crying,optionD,tear
35,depressed,pensive,tired,weary,tear,disappointed,crying,optionA,pensive
36,depressed,pensive,tired,weary,tear,disappointed,crying,optionD,tear
37,depressed,pensive,tired,weary,tear,disappointed,crying,optionA,pensive
38,depressed,pensive,tired,weary,tear,disappointed,crying,optionA,pensive
39,depressed,pensive,tired,weary,tear,disappointed,crying,optionB,tired
40,depressed,disappointed,tear,crying,pensive,tired,weary,optionA,disappointed
41,depressed,disappointed,tear,crying,pensive,tired,weary,optionC,crying
42,depressed,disappointed,tear,crying,pensive,tired,weary,optionD,pensive
43,depressed,disappointed,tear,crying,pensive,tired,weary,optionD,pensive
44,depressed,disappointed,tear,crying,pensive,tired,weary,optionE,tired
45,depressed,disappointed,tear,crying,pensive,tired,weary,optionF,weary
46,depressed,disappointed,tear,crying,pensive,tired,weary,optionD,pensive
47,depressed,disappointed,tear,crying,pensive,tired,weary,optionA,disappointed
48,depressed,disappointed,tear,crying,pensive,tired,weary,optionD,pensive
49,depressed,disappointed,tear,crying,pensive,tired,weary,optionD,pensive
50,sad,crying,tired,disappointed,pensive,tear,weary,optionD,pensive
51,sad,crying,tired,disappointed,pensive,tear,weary,optionE,tear
52,sad,crying,tired,disappointed,pensive,tear,weary,optionE,tear
53,sad,crying,tired,disappointed,pensive,tear,weary,optionD,pensive
54,sad,crying,tired,disappointed,pensive,tear,weary,optionE,tear
55,sad,crying,tired,disappointed,pensive,tear,weary,optionC,disappointed
56,sad,crying,tired,disappointed,pensive,tear,weary,optionD,pensive
57,sad,crying,tired,disappointed,pensive,tear,weary,optionC,disappointed
58,sad,crying,tired,disappointed,pensive,tear,weary,optionC,disappointed
59,sad,crying,tired,disappointed,pensive,tear,weary,optionC,disappointed
60,sad,weary,disappointed,pensive,tired,crying,tear,optionC,pensive
61,sad,weary,disappointed,pensive,tired,crying,tear,optionE,crying
62,sad,weary,disappointed,pensive,tired,crying,tear,optionC,pensive
63,sad,weary,disappointed,pensive,tired,crying,tear,optionA,weary
64,sad,weary,disappointed,pensive,tired,crying,tear,optionF,tear
65,sad,weary,disappointed,pensive,tired,crying,tear,optionF,tear
66,sad,weary,disappointed,pensive,tired,crying,tear,optionB,disappointed
67,sad,weary,disappointed,pensive,tired,crying,tear,optionE,crying
68,sad,weary,disappointed,pensive,tired,crying,tear,optionB,disappointed
69,sad,weary,disappointed,pensive,tired,crying,tear,optionB,disappointed
70,sad,tear,tired,weary,pensive,crying,disappointed,optionC,weary
71,sad,tear,tired,weary,pensive,crying,disappointed,optionD,pensive
72,sad,tear,tired,weary,pensive,crying,disappointed,optionF,disappointed
73,sad,tear,tired,weary,pensive,crying,disappointed,optionA,tear
74,sad,tear,tired,weary,pensive,crying,disappointed,optionF,disappointed
75,sad,tear,tired,weary,pensive,crying,disappointed,optionA,tear
76,sad,tear,tired,weary,pensive,crying,disappointed,optionE,crying
77,sad,tear,tired,weary,pensive,crying,disappointed,optionF,disappointed
78,sad,tear,tired,weary,pensive,crying,disappointed,optionE,crying
79,sad,tear,tired,weary,pensive,crying,disappointed,optionA,tear
80,sad,pensive,tired,weary,tear,disappointed,crying,optionF,crying
81,sad,pensive,tired,weary,tear,disappointed,crying,optionE,disappointed
82,sad,pensive,tired,weary,tear,disappointed,crying,optionD,tear
83,sad,pensive,tired,weary,tear,disappointed,crying,optionE,disappointed
84,sad,pensive,tired,weary,tear,disappointed,crying,optionC,weary
85,sad,pensive,tired,weary,tear,disappointed,crying,optionD,tear
86,sad,pensive,tired,weary,tear,disappointed,crying,optionA,pensive
87,sad,pensive,tired,weary,tear,disappointed,crying,optionA,pensive
88,sad,pensive,tired,weary,tear,disappointed,crying,optionE,disappointed
89,sad,pensive,tired,weary,tear,disappointed,crying,optionA,pensive
90,sad,disappointed,tear,crying,pensive,tired,weary,optionB,tear
91,sad,disappointed,tear,crying,pensive,tired,weary,optionD,pensive
92,sad,disappointed,tear,crying,pensive,tired,weary,optionC,crying
93,sad,disappointed,tear,crying,pensive,tired,weary,optionB,tear
94,sad,disappointed,tear,crying,pensive,tired,weary,optionA,disappointed
95,sad,disappointed,tear,crying,pensive,tired,weary,optionD,pensive
96,sad,disappointed,tear,crying,pensive,tired,weary,optionD,pensive
97,sad,disappointed,tear,crying,pensive,tired,weary,optionB,tear
