word,emoji_1,emoji_2,emoji_3,emoji_4,emoji_5,emoji_6
depressed,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png
depressed,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png
depressed,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png
depressed,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png
depressed,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png
sad,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png
sad,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png
sad,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png
sad,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png
sad,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png
unhappy,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png
unhappy,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png
unhappy,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png
unhappy,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png
unhappy,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png
heartbroken,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png
heartbroken,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png
heartbroken,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png
heartbroken,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png
heartbroken,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png
dejected,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_crying.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tired.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_disappointed.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_pensive.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_tear.png,https://s3.us-east-2.amazonaws.com/iw-emojis/sad_weary.png
